level,design,fold_id,parent_fold_id,held_out_key,held_out_group,validation_target_date,role,sample_id
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,train,P-V05-W004::C008::C010
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,train,P-V05-W005::C008::C010
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,train,P-V05-W006::C008::C010
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,train,P-V05-W007::C008::C010
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,train,P-V06-W001::C008::C010
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,train,P-V06-W002::C008::C010
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,train,P-V06-W004::C008::C010
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,train,P-V06-W005::C008::C010
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,train,P-V06-W006::C008::C010
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,train,P-V06-W007::C008::C010
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,train,P-D01-W001::C009::C010
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,train,P-D01-W002::C009::C010
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,train,P-D01-W005::C009::C010
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,train,P-D01-W006::C009::C010
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,train,P-D01-W007::C009::C010
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,train,P-H03-W001::C009::C010
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,train,P-H03-W002::C009::C010
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,train,P-H03-W004::C009::C010
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,train,P-H03-W005::C009::C010
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,train,P-H03-W006::C009::C010
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,train,P-V01-W003::C009::C010
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,train,P-V01-W004::C009::C010
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,train,P-V01-W005::C009::C010
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,train,P-V01-W006::C009::C010
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,train,P-H04-W001::C010::C011
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,train,P-H04-W002::C010::C011
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,train,P-H04-W003::C010::C011
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,train,P-H04-W004::C010::C011
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,train,P-H04-W005::C010::C011
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,train,P-H04-W006::C010::C011
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,train,P-H04-W007::C010::C011
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,train,P-V02-W001::C010::C011
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,train,P-V02-W002::C010::C011
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,train,P-V02-W003::C010::C011
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,train,P-V02-W004::C010::C011
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,train,P-V02-W005::C010::C011
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,train,P-V02-W006::C010::C011
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,train,P-V02-W007::C010::C011
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-D01-W001::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-D01-W002::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-D01-W003::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-D01-W004::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-D01-W005::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-D01-W006::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-D01-W007::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-H01-W001::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-H01-W002::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-H01-W003::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-H01-W004::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-H01-W005::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-H01-W006::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-H01-W007::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-H02-W001::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-H02-W003::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-H02-W004::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-H02-W005::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-H02-W006::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-H02-W007::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-H03-W001::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-H03-W002::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-H03-W003::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-H03-W004::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-H03-W005::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-H03-W006::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-H03-W007::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-H05-W001::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-H05-W002::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-H05-W003::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-H05-W004::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-H05-W005::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-H05-W006::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-H05-W007::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-H06-W001::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-H06-W002::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-H06-W003::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-H06-W004::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-H06-W005::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-H06-W006::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-V01-W001::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-V01-W002::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-V01-W003::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-V01-W004::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-V01-W005::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-V01-W006::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-V03-W001::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-V03-W002::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-V03-W003::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-V03-W004::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-V03-W005::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-V03-W006::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-V03-W007::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-V04-W001::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-V04-W002::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-V04-W003::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-V04-W004::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-V04-W006::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-V04-W007::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-V05-W002::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-V05-W003::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-V05-W004::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-V05-W005::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-V05-W006::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-V05-W007::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-V06-W001::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-V06-W002::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-V06-W003::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-V06-W004::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-V06-W006::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-V06-W007::C010::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-H04-W001::C011::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-H04-W002::C011::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-H04-W003::C011::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-H04-W004::C011::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-H04-W005::C011::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-H04-W006::C011::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-H04-W007::C011::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-V02-W001::C011::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-V02-W003::C011::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-V02-W004::C011::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-V02-W005::C011::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-V02-W006::C011::C012
outer,rolling_origin,rolling_origin_2021-05-18,,,,2021-05-18,validation,P-V02-W007::C011::C012
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-V01-W001::C003::C004
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-V01-W003::C003::C004
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-V01-W004::C003::C004
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-V01-W007::C003::C004
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H03-W001::C003::C005
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H03-W002::C003::C005
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H03-W003::C003::C005
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H03-W004::C003::C005
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H03-W005::C003::C005
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H03-W006::C003::C005
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H03-W007::C003::C005
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H02-W001::C004::C005
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H02-W002::C004::C005
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H02-W004::C004::C005
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H02-W005::C004::C005
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-V01-W001::C004::C005
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-V01-W002::C004::C005
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-V01-W003::C004::C005
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-V01-W004::C004::C005
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-V01-W007::C004::C005
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H03-W001::C005::C006
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H03-W002::C005::C006
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H03-W003::C005::C006
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H03-W004::C005::C006
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H03-W005::C005::C006
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H03-W006::C005::C006
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H03-W007::C005::C006
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-V02-W001::C005::C006
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-V02-W002::C005::C006
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-V02-W003::C005::C006
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-V02-W004::C005::C006
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-V02-W005::C005::C006
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-V02-W006::C005::C006
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-V02-W007::C005::C006
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-D01-W001::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-D01-W002::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-D01-W003::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-D01-W004::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-D01-W005::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-D01-W006::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-D01-W007::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H01-W001::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H01-W002::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H01-W003::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H01-W004::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H01-W005::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H01-W006::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H02-W001::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H02-W002::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H02-W004::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H02-W005::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H02-W006::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H02-W007::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H05-W001::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H05-W002::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H05-W003::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H05-W004::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H05-W005::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H05-W006::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H05-W007::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H06-W001::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H06-W003::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H06-W004::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H06-W005::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H06-W006::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H06-W007::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H07-W001::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H07-W002::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H07-W003::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H07-W004::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H07-W005::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-H07-W007::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-V01-W001::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-V01-W002::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-V01-W003::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-V01-W004::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-V01-W005::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-V01-W006::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-V01-W007::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-V03-W001::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-V03-W002::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-V03-W003::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-V03-W004::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-V03-W005::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-V03-W006::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-V03-W007::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-V04-W001::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-V04-W002::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-V04-W004::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-V04-W005::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-V04-W006::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-V04-W007::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-V05-W002::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-V05-W004::C005::C007
outer,rolling_origin,rolling_origin_2021-07-13,,,,2021-07-13,train,P-V05-W006::C005::C007
